ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
1,14,2017,12500,15735,150,55.40000153,1.399999976,2,5,Audi
2,19,2016,16500,36203,20,64.19999695,2,1,1,Audi
3,14,2016,11000,29946,30,55.40000153,1.399999976,2,5,Audi
4,17,2017,16800,25952,145,67.30000305,2,1,1,Audi
5,16,2019,17300,1998,145,49.59999847,1,2,5,Audi
6,14,2016,13900,32260,30,58.90000153,1.399999976,1,5,Audi
7,19,2016,13250,76788,30,61.40000153,2,1,1,Audi
8,17,2016,11750,75185,20,70.59999847,2,2,1,Audi
9,16,2015,10200,46112,20,60.09999847,1.399999976,2,5,Audi
10,14,2016,12000,22451,30,55.40000153,1.399999976,2,5,Audi
11,16,2017,16100,28955,145,58.90000153,1.399999976,2,5,Audi
12,19,2016,16500,52198,125,57.59999847,2,1,1,Audi
13,58,2016,17000,44915,145,52.29999924,2,2,1,Audi
14,16,2017,16400,21695,30,58.90000153,1.399999976,2,5,Audi
15,19,2015,15400,47348,30,61.40000153,2,2,1,Audi
16,16,2017,14500,26156,145,58.90000153,1.399999976,1,5,Audi
17,58,2016,15700,28396,145,53.29999924,2,1,1,Audi
18,16,2014,13900,30516,30,56.5,1.399999976,1,5,Audi
19,59,2016,19000,37652,200,47.09999847,2,1,1,Audi
20,58,2014,17000,34110,145,47.90000153,1.399999976,2,5,Audi
21,18,2017,17300,37100,145,67.30000305,2,1,1,Audi
22,59,2016,20200,23714,200,47.09999847,2,1,1,Audi
23,18,2017,22500,21649,145,58.90000153,3,1,1,Audi
24,19,2015,17500,62748,150,53.29999924,3,1,1,Audi
25,59,2016,20000,23789,200,47.09999847,2,1,1,Audi
26,17,2017,18500,17418,145,62.79999924,2,1,1,Audi
27,18,2017,19500,33300,145,61.40000153,2,1,1,Audi
28,14,2018,15800,10793,145,56.5,1.399999976,2,5,Audi
29,17,2018,17200,25138,145,70.59999847,2,1,1,Audi
30,19,2015,14000,61176,30,62.79999924,2,2,1,Audi
31,14,2015,9500,54754,0,76.30000305,1.600000024,1,1,Audi
32,58,2017,16500,21369,125,51.40000153,1.399999976,2,5,Audi
33,58,2014,15000,39190,205,47.90000153,2,1,1,Audi
34,58,2017,16000,47482,150,47.90000153,1.399999976,1,5,Audi
35,58,2016,16900,40501,150,51.40000153,2,1,1,Audi
36,58,2014,12300,43195,200,47.90000153,2,1,1,Audi
37,14,2017,10800,31447,145,67.30000305,1,2,5,Audi
38,19,2016,19400,34030,125,58.90000153,2,1,1,Audi
39,17,2017,16000,29063,145,70.59999847,2,2,1,Audi
40,16,2017,17100,29545,145,65.69999695,2,2,1,Audi
41,16,2015,11300,75619,20,68.90000153,2,2,1,Audi
42,58,2016,17200,39603,160,50.40000153,2,1,1,Audi
43,58,2017,20300,42908,145,51.40000153,2,1,1,Audi
44,18,2014,13200,83872,125,58.90000153,2,1,1,Audi
45,58,2016,15200,58750,145,47.90000153,1.399999976,1,5,Audi
46,16,2019,15700,2029,145,49.59999847,1,2,5,Audi
47,19,2018,16600,22958,145,50.40000153,1.799999952,1,5,Audi
48,17,2017,14400,32097,145,72.40000153,2,1,1,Audi
49,18,2017,20200,13057,145,53.29999924,2,1,5,Audi
50,71,2017,23700,20278,145,38.70000076,3,1,5,Audi
51,17,2016,12750,52561,0,74.30000305,2,2,1,Audi
52,19,2015,13000,31604,20,67.30000305,2,1,1,Audi
53,58,2016,15900,32011,145,49.59999847,1.399999976,2,5,Audi
54,58,2016,15000,39134,30,60.09999847,2,2,1,Audi
55,59,2015,14700,89483,205,47.09999847,2,1,1,Audi
56,16,2015,15000,56291,200,42.79999924,1.799999952,1,5,Audi
57,19,2016,16000,47767,20,61.40000153,2,1,1,Audi
58,14,2014,11000,34315,125,53.29999924,1.399999976,2,5,Audi
59,16,2016,10200,66369,0,83.09999847,1.600000024,2,1,Audi
60,19,2016,18500,34110,30,61.40000153,2,2,1,Audi
61,14,2013,7000,76269,0,74.30000305,1.600000024,2,1,Audi
62,16,2016,10600,37840,20,70.59999847,1.600000024,2,1,Audi
63,16,2017,16000,26249,30,67.30000305,1.600000024,2,1,Audi
64,58,2017,15000,44898,125,57.70000076,2,2,1,Audi
65,58,2017,14000,67161,150,51.40000153,1.399999976,2,5,Audi
66,16,2018,18950,17992,150,54.29999924,1.5,2,5,Audi
67,17,2016,10200,97440,20,70.59999847,2,2,1,Audi
68,14,2017,11700,19268,150,67.30000305,1,2,5,Audi
69,16,2013,11500,51441,125,50.40000153,1.799999952,1,5,Audi
70,14,2016,10800,18181,0,67.30000305,1,2,5,Audi
71,16,2016,12500,19494,30,67.30000305,2,2,1,Audi
72,19,2016,16600,32808,30,61.40000153,2,2,1,Audi
73,16,2017,13100,25965,145,65.69999695,2,2,1,Audi
74,16,2016,8300,88215,20,68.90000153,2,2,1,Audi
75,16,2019,16000,5704,145,49.59999847,1,2,5,Audi
76,17,2017,16900,10959,145,51.40000153,1.399999976,2,5,Audi
77,59,2016,19600,30201,200,47.09999847,2,1,1,Audi
